import time: self [us] | cumulative | imported package
import time:       136 |        136 |   _io
import time:        31 |         31 |   marshal
import time:       266 |        266 |   posix
import time:       523 |        954 | _frozen_importlib_external
import time:        79 |         79 |   time
import time:       207 |        285 | zipimport
import time:        41 |         41 |     _codecs
import time:       466 |        507 |   codecs
import time:       308 |        308 |   encodings.aliases
import time:       414 |       1228 | encodings
import time:       141 |        141 | encodings.utf_8
import time:        78 |         78 | _signal
import time:        27 |         27 |       _abc
import time:       136 |        163 |     abc
import time:        34 |         34 |       _stat
import time:        98 |        131 |     stat
import time:       762 |        762 |     _collections_abc
import time:        48 |         48 |       errno
import time:        90 |         90 |       genericpath
import time:       165 |        302 |     posixpath
import time:       526 |       1882 |   os
import time:        97 |         97 |   _sitebuiltins
import time:       147 |        147 |   sitecustomize
import time:       528 |       2652 | site
import time:       223 |        223 | linecache
import time:        91 |         91 |   app
import time:       147 |        147 |       itertools
import time:       165 |        165 |       keyword
import time:        62 |         62 |         _operator
import time:       324 |        385 |       operator
import time:       157 |        157 |       reprlib
import time:        56 |         56 |       _collections
import time:      1043 |       1951 |     collections
import time:        30 |         30 |         _types
import time:       220 |        250 |       types
import time:        47 |         47 |       _functools
import time:       585 |        881 |     functools
import time:       649 |       3480 |   contextlib
import time:       101 |        101 |     starlette
import time:       112 |        112 |       __future__
import time:        27 |         27 |           _contextvars
import time:       344 |        371 |         _py_warnings
import time:       137 |        507 |       warnings
import time:       195 |        813 |     starlette.status
import time:      1257 |       1257 |       enum
import time:       147 |        147 |         copyreg
import time:        42 |         42 |         _typing
import time:      2097 |       2286 |       typing
import time:       129 |        129 |         annotated_doc.main
import time:       146 |        275 |       annotated_doc
import time:       105 |        105 |           email
import time:       255 |        255 |           binascii
import time:        52 |         52 |               _sre
import time:       914 |        914 |                 re._constants
import time:       378 |       1291 |               re._parser
import time:       157 |        157 |               re._casefix
import time:       317 |       1816 |             re._compiler
import time:       449 |       2265 |           re
import time:       175 |        175 |           quopri
import time:       285 |        285 |           io
import time:        38 |         38 |               _datetime
import time:        99 |        137 |             datetime
import time:        85 |         85 |               urllib
import time:       179 |        179 |               math
import time:       990 |        990 |               ipaddress
import time:      1591 |       2844 |             urllib.parse
import time:       246 |        246 |             email._parseaddr
import time:       466 |       3691 |           email.utils
